#No.,LabelName
31, Right_Amygdala
32, Left_Amygdala
47, Right_Hippocampus
48, Left_Hippocampus
100, Right_ACgG_anterior_cingulate_gyrus
101, Left_ACgG_anterior_cingulate_gyrus
102, Right_AIns_anterior_insula
103, Left_AIns_anterior_insula
112, Right_CO_central_operculum
113, Left_CO_central_operculum
114, Right_Cun_cuneus
115, Left_Cun_cuneus
118, Right_FO_frontal_operculum
119, Left_FO_frontal_operculum
120, Right_FRP_frontal_pole
121, Left_FRP_frontal_pole
138, Right_MCgG_middle_cingulate_gyrus
139, Left_MCgG_middle_cingulate_gyrus
144, Right_MOG_middle_occipital_gyrus
145, Left_MOG_middle_occipital_gyrus
148, Right_MPoG_postcentral_gyrus_medial_segment
149, Left_MPoG_postcentral_gyrus_medial_segment
150, Right_MPrG_precentral_gyrus_medial_segment
151, Left_MPrG_precentral_gyrus_medial_segment
152, Right_MSFG_superior_frontal_gyrus_medial_segment
153, Left_MSFG_superior_frontal_gyrus_medial_segment
154, Right_MTG_middle_temporal_gyrus
155, Left_MTG_middle_temporal_gyrus
156, Right_OCP_occipital_pole
157, Left_OCP_occipital_pole
166, Right_PCgG_posterior_cingulate_gyrus
167, Left_PCgG_posterior_cingulate_gyrus
168, Right_PCu_precuneus
169, Left_PCu_precuneus
172, Right_PIns_posterior_insula
173, Left_PIns_posterior_insula
174, Right_PO_parietal_operculum
175, Left_PO_parietal_operculum
176, Right_PoG_postcentral_gyrus
177, Left_PoG_postcentral_gyrus
178, Right_POrG_posterior_orbital_gyrus
179, Left_POrG_posterior_orbital_gyrus
182, Right_PrG_precentral_gyrus
183, Left_PrG_precentral_gyrus
186, Right_SCA_subcallosal_area
187, Left_SCA_subcallosal_area
192, Right_SMC_supplementary_motor_cortex
193, Left_SMC_supplementary_motor_cortex
196, Right_SOG_superior_occipital_gyrus
197, Left_SOG_superior_occipital_gyrus
198, Right_SPL_superior_parietal_lobule
199, Left_SPL_superior_parietal_lobule
202, Right_TMP_temporal_pole
203, Left_TMP_temporal_pole
141, Left_vmpfc
140, Right_vmpfc
146, Left_mcOFC
147, Right_mcOFC
165, Left_lOFC
164, Right_lOFC
191, Left_dlPFC 
190, Right_dlPFC
181, Left_STG
180, Right_STG
163, Left_vlPFC
162, Right_vlPFC
107, Left_IPL
106, Right_IPL
133, Left_inferior_temporal
132, Right_inferior_temporal
117, Left_MTL
116, Right_MTL
129, Left_inferior_lateral_occipital
128, Right_inferior_lateral_occipital
109, Left_inferior_medial_occipital
108, Right_inferior_medial_occipital
